    TRLIT|Product|U+09AA U+09CD U+09B0 U+09A1 U+09BE U+0995 U+09CD U+099F
    TRLIT|User|U+0987 U+0989 U+099C U+09BE U+09B0
    TRLIT|Duplicate|U+09A1 U+09C1 U+09AA U+09CD U+09B2 U+09BF U+0995 U+09C7 U+099F
    TRLIT|Tax|U+099F U+09CD U+09AF U+09BE U+0995 U+09CD U+09B8
    TRLIT|Settings|U+09B8 U+09C7 U+099F U+09BF U+0982 U+09B8
    TRLIT|Save|U+09B8 U+09C7 U+09AD
    TRLIT|Cancel|U+0995 U+09CD U+09AF U+09BE U+09A8 U+09B8 U+09C7 U+09B2
    TRLIT|Home|U+09B9 U+09CB U+09AE
    TRLIT|Logout|U+09B2 U+0997 U+0986 U+0989 U+099F
    TRLIT|Sale|U+09B8 U+09C7 U+09B2
    TRLIT|Reports|U+09B0 U+09BF U+09AA U+09CB U+09B0 U+09CD U+099F U+09B8
    TRLIT|Stock In|U+09B8 U+09CD U+099F U+0995 U+0020 U+0987 U+09A8
    TRLIT|Customer|U+0995 U+09BE U+09B8 U+09CD U+099F U+09AE U+09BE U+09B0
    TRLIT|Category|U+0995 U+09CD U+09AF U+09BE U+099F U+09BE U+0997 U+09B0 U+09BF
    TRLIT|Checkout|U+099A U+09C7 U+0995 U+0986 U+0989 U+099F
    TRLIT|Print Bill|U+09AA U+09CD U+09B0 U+09BF U+09A8 U+09CD U+099F U+0020 U+09AC U+09BF U+09B2
    TRLIT|Order Items|U+0985 U+09B0 U+09CD U+09A1 U+09BE U+09B0 U+0020 U+0987 U+099F U+09C7 U+09AE U+09CD U+09B8
    TRLIT|Total|U+099F U+09CB U+099F U+09BE U+09B2
    TRLIT|Search|U+09B8 U+09BE U+09B0 U+09CD U+099A
    TRLIT|Bath Soap|U+09AC U+09CD U+09AF U+09BE U+09A5 U+0020 U+09B8 U+09CB U+09AA
    TRLIT|Basmati Rice 5kg|U+09AC U+09CD U+09AF U+09BE U+09B8 U+09CD U+09AE U+09BE U+099F U+09BF U+0020 U+09B0 U+09BE U+0987 U+09B8 U+0020 U+0035 U+006B U+0067
    TRLIT|? 100.00|U+20B9 U+0020 U+0031 U+0030 U+0030 U+002E U+0030 U+0030
    TRLIT|Active Orders (15)|U+0985 U+09CD U+09AF U+09BE U+0995 U+09CD U+099F U+09BE U+0987 U+09AD U+0020 U+0985 U+09B0 U+09CD U+09A1 U+09BE U+09B0 U+09B8 U+0020 U+0028 U+0031 U+0035 U+0029
